1,Винницкая область,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Винницкая область,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Волынская область,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Днепропетровская область,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Донецкая область,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Житомирская область,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,Закарпатская область,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Запорожская область,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ивано-Франковская область,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,3,3
9,Киевская область,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Кировоградская область,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Луганская область,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Львовская область,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Николаевская область,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Одесская область,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Полтавская область,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ровненский район,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
17,Сумская область,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
18,Тернопольская область,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
19,Харьковская область,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Херсонская область,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Хмельницкая область,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Черкасская область,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Черневецкий район,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
24,Черниговская область,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Киев,,,,,,,,,,,,,,,,,,,,,,,,,,,